x
1	GSM340612
2	GSM340613
3	GSM340614
4	GSM340618
5	GSM340620
6	GSM340623
7	GSM340628
8	GSM340630
9	GSM340633
10	GSM340634
11	GSM340636
12	GSM340648
13	GSM340653
14	GSM340654
15	GSM340660
16	GSM340665
17	GSM340672
18	GSM340673
19	GSM340674
20	GSM340677
21	GSM340678
22	GSM340684
23	GSM340693
24	GSM340694
25	GSM340696
26	GSM340697
27	GSM340700
28	GSM340701
29	GSM340702
30	GSM340704
31	GSM340705
32	GSM340706
33	GSM340709
34	GSM340712
35	GSM340714
36	GSM340715
37	GSM340718
38	GSM340720
39	GSM340721
40	GSM340723
41	GSM340725
42	GSM340727
43	GSM340728
44	GSM340729
45	GSM340731
46	GSM340732
47	GSM340733
48	GSM340745
49	GSM340746
50	GSM340747
51	GSM340757
52	GSM340758
53	GSM340759
54	GSM340760
55	GSM340761
56	GSM340762
57	GSM340763
58	GSM340764
59	GSM340765
60	GSM340766
61	GSM340767
62	GSM340769
