x
1,UNC5B
2,NA
3,KRTAP5-2
4,NA
5,CRTAC1
6,ST3GAL5
7,CDC25B
8,NA
9,CALU
10,MTHFD2
11,ATOH8
12,MT2A
13,NA
14,C17orf79
15,NA
16,C10orf58
17,FAM53B
18,PLEKHA7
19,NA
20,ZNF563
21,SLC2A3
22,NTF5
23,NA
24,DNM1
25,MMD
26,C19orf39
27,NA
28,TUBB6
29,ALDH4A1
30,CNN3
31,LOC647760
32,COL5A2
33,NA
34,CTHRC1
35,DEGS1
36,ASGR1
37,PLEKHO1
38,BCAS1
39,ID3
40,MGC35402
41,NA
42,TXNRD1
43,NA
44,TESC
45,ZNF429
46,PHF19
47,NA
48,GATA2
49,LOC162993
50,CTSE
51,C8orf15
52,NA
53,KCNH4
54,FHIT
55,HOXB3
56,LOC651101
57,C3orf54
58,GPRC5C
59,C9orf19
60,CCDC125
61,SLITRK6
62,CARD11
63,HIGD2A
64,LOC388559
65,NA
66,SMAD6
67,IMPA2
68,MYO5A
69,SLC9A1
70,LOC645287
71,C16orf74
72,ACTN1
73,C8orf16
74,MSH3
75,DDAH2
76,ADAM19
77,RBP1
78,YWHAH
79,FAM83D
80,ZNF552
81,NA
82,SYTL1
83,SORL1
84,DSCR1
85,HOXD1
86,PCNXL2
87,ARL6IP2
88,NA
89,LNX1
90,SNCAIP
91,TMC7
92,NA
93,GLT25D1
94,TYSND1
95,TMEM63A
96,NA
97,CD83
98,CDKN2D
99,FLJ20444
100,TMC4
101,NA
102,PLEKHG2
103,NA
104,PIK3R2
105,NA
106,NA
107,CLCF1
108,TEAD2
109,NFIL3
110,PLEKHH1
111,SERPINE2
112,SNAI3
113,NRG4
114,NA
115,NA
116,LOC652668
117,EHD1
118,DUSP14
119,LOC400451
120,GALNAC4S-6ST
121,HISPPD2A
122,SLFN11
123,CTSL1
124,NA
125,SLC43A3
126,CTPS
127,NA
128,LOC644844
129,TUBA1B
130,NA
131,NA
132,ELOVL4
133,NA
134,COL1A1
135,NA
136,D4S234E
137,NA
138,C3orf21
139,CTGF
140,ADAM28
141,HHAT
142,LOC651957
143,CYR61
144,SLC25A25
145,SH3KBP1
146,DCC1
147,PSMC1
148,SPOCD1
149,MT1A
150,NA
151,FAP
152,MGC16703
153,SSH3
154,TPM3
155,NA
156,ABAT
157,PLA2G10
158,ATF3
159,TIMP2
160,NA
161,SNFT
162,PLEKHH3
163,CCDC109B
164,OLFML2B
165,AEBP1
166,C15orf48
167,NA
168,ANXA10
169,FAM20C
170,PLCD3
171,IFT140
172,NSUN4
173,HSPC047
174,PLEKHA4
175,C10orf65
176,PPIL3
177,TMEM158
178,NEDD4L
179,RAI1
180,BTBD16
181,WDR62
182,TNFRSF1B
183,PDCD7
184,CDC42EP5
185,CXCR4
186,SLC7A6
187,LY96
188,RCN3
189,ADA
190,GFPT2
191,ZNF564
192,C5orf34
193,CIT
194,IER3
195,PGPEP1
196,C1orf126
197,ACOT7
198,LOH11CR2A
199,HOXB4
200,PGM2L1
201,NT5DC3
202,SGCE
203,CALD1
204,GEMIN8
205,NA
206,NA
207,LOC642299
208,TMPRSS4
209,APOL1
210,NA
211,NA
212,STK3
213,LOC646990
214,GDPD5
215,C11orf75
216,ATP8B1
217,LDLR
218,CNTN3
219,PTRF
220,RNASEL
221,LOC730329
222,FABP6
223,CHCHD3
224,NSUN6
225,S100A8
226,KIAA0564
227,HOMEZ
228,COL4A1
229,MPP1
230,MXD4
231,MCC
232,LOC283412
233,TUBB
234,DOCK11
235,NA
236,LILRB3
237,NUDT12
238,ANK3
239,C8orf55
240,NA
241,LOC646332
242,SLC45A3
243,NUDT1
244,NA
245,TNFAIP6
246,C10orf99
247,PPFIBP2
248,KATNAL1
249,SELM
250,OBFC1
251,TSPAN4
252,ARSD
253,CRIP1
254,SLC22A5
255,NRM
256,NNMT
257,ALOX5
258,LOC441019
259,NA
260,TRIM2
261,NA
262,HSD17B2
263,TWIST1
264,COL5A1
265,RRAGC
266,LOC645626
267,LOC440278
268,MMP23A
269,TIGD6
270,RASSF2
271,DENND2D
272,C17orf44
273,SNX10
274,MT1G
275,RAB3IL1
276,SAC3D1
277,ZAK
278,CCL2
279,TOPBP1
280,CCL8
281,LOC728790
282,HMGB2
283,KPNA4
284,NA
285,NA
286,PTCD2
287,NA
288,RIC3
289,UGT1A1
290,BHLHB3
291,NA
292,TNC
293,C1orf101
294,PMP22
295,STX2
296,THY1
297,MARK1
298,HAPLN3
299,CLIP3
300,KDELR3
301,LOC653206
302,C10orf73
303,PLAUR
304,SLC14A1
305,NA
306,NA
307,FADS1
308,NME5
309,NA
310,LOC728790
311,MAP3K5
312,LOC645600
313,SH2D4A
314,EGR2
315,TPST1
316,DPYSL2
317,FYN
318,SOD2
319,DBC1
320,VASN
321,FSTL1
322,C9orf30
323,USP13
324,ADAMTS4
325,NA
326,NEK6
327,CD33L3
328,ALDH1L2
329,HOXB6
330,DHRS12
331,KRTAP5-7
332,SULF1
333,FARP2
334,LIX1L
335,IFNE1
336,AIG1
337,TNFRSF13C
338,ITGA5
339,IL8RB
340,NA
341,ACP6
342,IL8
343,MAD2L2
344,HMGCS1
345,PLA2G4C
346,FLJ39653
347,FLJ43339
348,CDH23
349,LMCD1
350,NA
351,PIM2
352,HAK
353,MGC26718
354,TAGLN
355,LOC652002
356,PSMD1
357,PBEF1
358,LOC339766
359,LOC653527
360,PLEK
361,CCDC71
362,C1orf186
363,TMEM185A
364,PWWP2
365,ACSM1
366,CDKN3
367,SCAND2
368,CAPN9
369,ZNF385
370,TNFAIP3
371,CPVL
372,ITGB6
373,CD86
374,TXNL2
375,NA
376,JUND
377,SLC9A5
378,COL18A1
379,ST3GAL6
380,GHDC
381,PRRX1
382,MDM4
383,PROM2
384,HEYL
385,NA
386,RBM28
387,VSIG2
388,NA
389,GP1BB
390,LOC440498
391,NA
392,C16orf61
393,ASPN
394,SLC24A1
395,APM-1
396,ZNF440
397,NA
398,NCKAP1L
399,INSIG1
400,AIF1
401,UCHL1
402,PALLD
403,MGC17330
404,TUBB3
405,NA
406,NA
407,CALM1
408,TUBB2B
409,SHROOM2
410,NA
411,HOXB5
412,NA
413,LOC642795
414,C15orf28
415,MGMT
416,LOC647949
417,CTSH
418,LOC645212
419,CCRN4L
420,NA
421,SH2B3
422,ICF45
423,LOC651309
424,EDG3
425,ZNF561
426,BDKRB1
427,NA
428,C5AR1
429,SPHK1
430,LOC341651
431,LOC641710
432,Septin 4
433,RGS1
434,DENND2A
435,NA
436,CLIC4
437,SLC26A5
438,DYNC1I1
439,JMY
440,CAT
441,LATS2
442,LOC440080
443,NA
444,SLC6A16
445,NA
446,ZNF816A
447,LAG3
448,NINJ2
449,LOC647648
450,AQP3
451,NA
452,NA
453,C5orf13
454,NA
455,NA
456,PSD3
457,CAPS
458,NMU
459,TMEM52
460,BCAT1
461,ATF7IP2
462,EVI1
463,LGALS1
464,SERINC2
465,EMP3
466,C6orf106
467,MYADM
468,MYO7A
469,PIGV
470,CD14
471,B4GALNT1
472,MACF1
473,SETD3
474,WNT7B
475,TGM2
476,NA
477,VKORC1L1
478,PGLS
479,FLJ40473
480,C17orf53
481,TRPT1
482,COL3A1
483,NA
484,FLJ43806
485,NA
486,LOC652771
487,NA
488,IVD
489,FLJ21687
490,GALNT4
491,CD163
492,PNMA1
493,BCL2L13
494,PLEKHA6
495,NA
496,COCH
497,NA
498,CBR4
499,NA
500,GPR19
501,ALDH1L1
502,VCAN
503,LOC388610
504,NA
505,CPT1C
506,NA
507,ZDHHC14
508,C11orf24
509,PDXP
510,C21orf81
511,NA
512,MYL6
513,KCNK12
514,ISL2
515,C10orf95
516,LOC648153
517,LOC647074
518,C14orf145
519,APOLD1
520,MSX2
521,MIA3
522,NA
523,MGC3207
524,LOC644338
525,EGR1
526,CORO1C
527,TOLLIP
528,E2F1
529,CLIC4
530,ZFYVE20
531,ENTPD3
532,RASSF4
533,C5orf37
534,LOC641705
535,RAB15
536,COL6A3
537,POLR1B
538,BTBD8
539,KIAA1244
540,C6orf65
541,HAPLN4
542,MLL
543,SHROOM3
544,NA
545,DAB2IP
546,FLJ16237
547,RAPGEFL1
548,ABHD14B
549,NA
550,CASP8
551,SEC13
552,CTSK
553,FKBP5
554,STON2
555,FAM21B
556,SNRPB2
557,SH3YL1
558,KLHDC6
559,FHOD1
560,SNORD33
561,KRTAP5-10
562,NA
563,NA
564,BCOR
565,NA
566,HSPA6
567,SLC29A4
568,S100A10
569,C4orf29
570,LOC642934
571,PAPSS2
572,LOC644907
573,LOC652837
574,CEBPB
575,MAST2
576,CENPA
577,C6orf173
578,MMEL1
579,NA
580,GGT6
581,DTNA
582,PRRX2
583,AP1S2
584,LOC285407
585,GADD45B
586,NA
587,ADAT1
588,MAP3K14
589,RAI14
590,ARHGAP26
591,TMCO4
592,STOM
593,LOC150356
594,ANKRD20A2
595,OR13A1
596,SLC29A3
597,FLJ38984
598,TMEM109
599,ID2
600,ESPL1
601,AKAP7
602,NA
603,HOXD4
604,CDCA5
605,KCNJ8
606,PTPRU
607,MRPL42P5
608,IKZF2
609,ME1
610,SFRP1
611,NA
612,ADIPOR2
613,SYT17
614,C1S
615,CYP26B1
616,KCNIP3
617,SLC25A19
618,KIAA1949
619,TMEM142C
620,DNAJC4
621,C16orf28
622,ATBF1
623,SCARF2
624,PLCL4
625,NA
626,SYT11
627,HCK
628,C12orf24
629,IL9R
630,LOC645317
631,C10orf33
632,TSPAN31
633,TBX6
634,ABCC3
635,NA
636,ZNF774
637,PLA2G4F
638,ABCC4
639,SLC16A10
640,NA
641,CTLA4
642,KLHL3
643,PSMD2
644,REEP2
645,CCDC24
646,PHLPP
647,C10orf83
648,C15orf17
649,LOC400924
650,SOCS3
651,DDEF2
652,GALNT7
653,ACOXL
654,KCNQ1
655,DPH3
656,AIM1
657,MMP3
658,LOC648984
659,PDDC1
660,DKFZp686O24166
661,MT1X
662,SNX8
663,ZBED5
664,NA
665,ABCD4
666,NA
667,DKFZp451A211
668,LOX
669,NA
670,XAGE-4
671,FAM3D
672,LOC401677
673,LOC387763
674,NA
675,BCL3
676,COX17
677,FLNC
678,FILIP1L
679,LOC401648
680,NA
681,NA
682,TMEM136
683,ANKRD20A2
684,ISLR
685,COL15A1
686,DHRS3
687,C9orf95
688,IGSF22
689,HOXB8
690,LOC404266
691,TEAD4
692,IQGAP3
693,EPN3
694,ZNF311
695,JUN
696,FLJ25996
697,ITGB1BP2
698,TRIM47
699,GSTO2
700,NA
701,MGC4677
702,FPR1
703,NA
704,C1QA
705,ENTPD1
706,MAPK12
707,NA
708,ATP8B2
709,NA
710,ADCY3
711,MTFMT
712,LY75
713,ZNF28
714,PTPN13
715,C14orf139
716,ERMAP
717,LOC730959
718,YWHAQ
719,CCL4
720,TCF4
721,ABLIM1
722,NA
723,TNNC2
724,NDUFS6
725,RAD50
726,C6orf32
727,LOC642419
728,MOGAT2
729,PTK6
730,NA
731,CYP2J2
732,EBI2
733,SNCG
734,FER1L4
735,LOC285033
736,FAHD1
737,RAD54L
738,SYT8
739,NA
740,RNF122
741,CDCA2
742,NA
743,LOC388237
744,PROC
745,HK3
746,NA
747,NPC1
748,AP1G2
749,LRRC41
750,FCHSD2
751,LOC641693
752,TXNIP
753,ZNF215
754,TMEM178
755,LRP8
756,NA
757,MPP2
758,DUOX1
759,NA
760,AQP9
761,LOC650739
762,KIF2C
763,NAV2
764,LOC153561
765,TMEM154
766,NA
767,FXYD3
768,KLF11
769,NA
770,SYDE1
771,ACTG2
772,KIAA0802
773,CRY1
774,ID1
775,SMN1
776,WAS
777,CLIC2
778,ZNF434
779,SLA
780,ZNF485
781,DECR1
782,PSCD3
783,GFOD1
784,RICS
785,LBR
786,NA
787,TMEM54
788,RELB
789,NA
790,NA
791,RCOR1
792,HR
793,C8orf42
794,SCHIP1
795,TNFAIP8L3
796,PRSS16
797,MT1M
798,PCF11
799,TFRC
800,NUDT3
801,SLC1A4
802,CKAP2L
803,PARP3
804,NA
805,MGC40499
806,NA
807,C1orf89
808,NA
809,SLC22A18
810,ZNF608
811,FPRL2
812,NA
813,HTRA3
814,CAPNS2
815,RBPMS2
816,TRIM29
817,TAPBPL
818,NA
819,GJA7
820,YBX2
821,PSCDBP
822,HSD3B7
823,FLJ20105
824,HYPK
825,APOE
826,TSC22D3
827,IQCA
828,MELK
829,NA
830,NA
831,ENO2
832,NA
833,C1orf24
834,SH3RF1
835,TPX2
836,BIN1
837,CUL1
838,ZADH2
839,LOC390637
840,ACCN3
841,ILDR1
842,DDI2
843,NA
844,TM4SF1
845,ARHGEF10L
846,ZNF175
847,C3orf26
848,NA
849,LCP2
850,SNAI1
851,RBMS1
852,LOH3CR2A
853,PDCD5
854,COL4A2
855,RXRA
856,NA
857,FGD1
858,AGR2
859,MGC50722
860,MLSTD2
861,GDPD2
862,LOC644641
863,SLC7A4
864,SEC61G
865,CCL11
866,PDGFRB
867,PCSK5
868,PLEK2
869,PHLDA1
870,NA
871,PAK6
872,AMT
873,CHD9
874,HBEGF
875,BLM
876,NCAPG
877,DTX1
878,FLJ21767
879,NA
880,ALKBH8
881,RUNX3
882,ADAMTS2
883,C14orf50
884,KIAA0922
885,COPZ2
886,NA
887,HES5
888,NA
889,C13orf27
890,SEMA3A
891,CXorf6
892,LOC642648
893,SGK
894,LAMA4
895,NA
896,CCL3
897,TCEB1
898,LOC731049
899,NPCDR1
900,PAQR8
901,NA
902,NA
903,MST1R
904,PLEKHC1
905,CEP55
906,NA
907,LOC643903
908,IRAK1BP1
909,NA
910,RFC4
911,LRRFIP2
912,C15orf40
913,GLI2
914,LOC152667
915,ASTN2
916,NA
917,FTL
918,NA
919,ICAM1
920,EXO1
921,CENPF
922,DIO2
923,TEX264
924,TAF10
925,AGXT2L2
926,CEBPG
927,RASSF6
928,PDLIM7
929,C9orf163
930,KRT13
931,IL6
932,NA
933,PRKCDBP
934,RRAD
935,MTO1
936,PRDX1
937,FLJ35258
938,NA
939,KCNAB2
940,TMEM144
941,GPR98
942,LOC652848
943,ZNF334
944,QSCN6
945,C11orf45
946,ST3GAL4
947,C14orf159
948,CDGAP
949,LOC731986
950,FBP1
951,PDLIM1
952,PIP5K2A
953,C1orf116
954,BLNK
955,NA
956,IL10RA
957,PDIA5
958,APBB1IP
959,NUDT18
960,SLC22A13
961,EIF4A3
962,FCER1G
963,NA
964,GAB2
965,NA
966,CNP
967,NA
968,NA
969,IGBP1
970,LOC728411
971,LAD1
972,LOC729446
973,ELK1
974,C1orf162
975,LOC389791
976,EMP1
977,DKFZP686A01247
978,RPL37A
979,TULP3
980,BDH2
981,NFE2
982,SULT1A1
983,DBN1
984,LOC729843
985,GAS7
986,TRIM27
987,NA
988,LOC641724
989,GMPS
990,POLQ
991,PURB
992,FXYD6
993,KCNMB4
994,CENTA2
995,PTPRS
996,TRIM56
997,RGS2
998,NA
999,NA
1000,NA
1001,DGAT2
1002,CENPE
1003,NA
1004,C22orf36
1005,RSRC1
1006,NA
1007,GPR178
1008,SPIN3
1009,GARS
1010,KIAA1522
1011,LOC647595
1012,RASSF1
1013,LENG9
1014,NA
1015,KCNT1
1016,ZNF775
1017,LOC729049
1018,LRRC33
1019,CASC5
1020,CDCA7
1021,NA
1022,HERC4
1023,TPM1
1024,FAM46B
1025,SAE1
1026,IL32
1027,WARS
1028,NPAL3
1029,ANXA5
1030,RIPK4
1031,LOC146053
1032,LOC651117
1033,PROS1
1034,ASPM
1035,VIPR1
1036,CD97
1037,SDS
1038,SETBP1
1039,TPM2
1040,PEA15
1041,UBXD3
1042,BMP7
1043,FOXM1
1044,DNAJB12
1045,CREB5
1046,PRTFDC1
1047,FAM113B
1048,HOXC6
1049,ADPRH
1050,HUS1B
1051,LOC388743
1052,DNAJA4
1053,GUSBL1
1054,NA
1055,MSH6
1056,ASAM
1057,BCL2L12
1058,OTUD1
1059,TSC1
1060,NA
1061,ABLIM2
1062,FAM43A
1063,CD248
1064,SPON2
1065,SPC25
1066,ALS2CR8
1067,IL2RA
1068,C6orf117
1069,SNHG8
1070,ARMCX6
1071,ENTPD5
1072,NA
1073,NA
1074,SLC39A14
1075,CLCC1
1076,RGS10
1077,CCBL1
1078,KIF23
1079,PDLIM4
1080,IFT122
1081,MORC4
1082,CA12
1083,C15orf42
1084,IFI30
1085,C6orf79
1086,DYRK3
1087,LOC124220
1088,C1orf106
1089,LOC646082
1090,PRC1
1091,LOXL3
1092,EHBP1
1093,SLC7A7
1094,DBT
1095,NA
1096,NA
1097,TGFBI
1098,NA
1099,UBE2V2
1100,C21orf57
1101,ALS2CR13
1102,LOC729033
1103,RGS11
1104,DKK4
1105,NA
1106,PSMC2
1107,KRT7
1108,COPB2
1109,LOC648237
1110,NEIL1
1111,ANGPTL2
1112,NLGN1
1113,NADSYN1
1114,MRPS25
1115,NBR1
1116,LOC646347
1117,LOC730422
1118,KIF5B
1119,MMP25
1120,C10orf82
1121,NA
1122,CDC45L
1123,SDC1
1124,NA
1125,HOM-TES-103
1126,NA
1127,NA
1128,SALL4
1129,PGAP1
1130,LOC388122
1131,BET1L
1132,NPAS2
1133,INTS10
1134,ROR2
1135,ARHGAP15
1136,TRIP13
1137,TSPAN14
1138,NA
1139,GGA1
1140,GPR115
1141,C1orf38
1142,TBX3
1143,TK1
1144,MLF1
1145,LOC731999
1146,SLC2A9
1147,C1orf198
1148,ANKRD25
1149,GPR68
1150,MCM10
1151,ODF2
1152,PIGZ
1153,LOC648099
1154,HMOX1
1155,SORCS2
1156,ATP6V1B1
1157,GALNTL4
1158,NA
1159,DUOXA1
1160,C9orf47
1161,ZNF222
1162,PDGFRL
1163,KIAA1271
1164,PREB
1165,TBC1D15
1166,LOC653479
1167,SPAG1
1168,OXA1L
1169,NICN1
1170,FLJ35776
1171,TACC3
1172,KIAA0232
1173,TBRG1
1174,LOC650147
1175,NA
1176,HPCAL1
1177,ACY1
1178,C13orf33
1179,NA
1180,MKI67
1181,LOC153561
1182,MSN
1183,CNDP2
1184,GEM
1185,MGC24103
1186,ANKRA2
1187,NA
1188,OSM
1189,ANXA1
1190,ARHGAP17
1191,RENBP
1192,EDNRA
1193,TYROBP
1194,CD109
1195,C1orf135
1196,LZTS1
1197,MED28
1198,LOC653904
1199,NA
1200,CTAGE5
1201,LOC652184
1202,TLR4
1203,KIAA0141
1204,TROAP
1205,C9orf25
1206,NT5DC1
1207,TSEN34
1208,NES
1209,HIST1H2BK
1210,TDH
1211,KLHL5
1212,FAM80B
1213,INA
1214,LOC731049
1215,SMA4
1216,STX18
1217,POLI
1218,LTB4R
1219,MASK-BP3
1220,PAFAH2
1221,ZNF500
1222,LOC642451
1223,MCAM
1224,CHSY-2
1225,TBC1D2
1226,SNORD32A
1227,NA
1228,NA
1229,RARRES2
1230,DOCK2
1231,NA
1232,OSCAR
1233,DDR1
1234,SPATA20
1235,PMS2L2
1236,PHGDH
1237,PLEKHQ1
1238,NA
1239,LOC442726
1240,ABI3BP
1241,PLA2G7
1242,MARVELD2
1243,NA
1244,NT5M
1245,KIAA0644
1246,NA
1247,VIM
1248,CCNB2
1249,LOC338799
1250,COL17A1
1251,NA
1252,GGTLA4
1253,ATP6V0A1
1254,ZFP36
1255,TP73L
1256,AURKB
1257,RUSC2
1258,TBC1D2B
1259,NA
1260,KIF1B
1261,NA
1262,C10orf89
1263,CSE1L
1264,LOC202051
1265,FBN1
1266,NA
1267,HAVCR2
1268,CXCL2
1269,DOK7
1270,NA
1271,CTNNAL1
1272,TMEM176A
1273,MCTP2
1274,TP53BP2
1275,EID3
1276,PET112L
1277,NA
1278,MGC26963
1279,SPAG5
1280,FCGR2A
1281,ARHGEF19
1282,C9orf21
1283,PTMS
1284,CRYAB
1285,LOC645869
1286,NA
1287,CHSY1
1288,CAPN1
1289,UBQLN1
1290,IGFBP2
1291,C1QB
1292,WDR23
1293,GPX2
1294,KIAA1840
1295,DCBLD2
1296,NA
1297,STC1
1298,COX15
1299,NA
1300,SEMA6C
1301,MFAP5
1302,ARHGAP24
1303,NA
1304,OLR1
1305,LOC654096
1306,NA
1307,NA
1308,NA
1309,LOC641807
1310,CLN5
1311,C8orf44
1312,NDC80
1313,LOC645932
1314,LOC731106
1315,NA
1316,FBXW4
1317,ADAMTS6
1318,ANKRD13A
1319,LRRC32
1320,MAPKAPK3
1321,RGS12
1322,DNAJB2
1323,HSZFP36
1324,RHBDD1
1325,SHH
1326,NA
1327,NA
1328,PIK3R1
1329,NA
1330,MR1
1331,INADL
1332,SNX26
1333,TCF7L1
1334,AGA
1335,LOC92196
1336,LOC643079
1337,IL17RD
1338,CALM2
1339,NA
1340,MOBKL2C
1341,RAP1GAP
1342,DYSF
1343,NA
1344,ADORA2A
1345,SVIL
1346,CYBRD1
1347,LOC388692
1348,RGMA
1349,LOC644284
1350,TMEM159
1351,MGST2
1352,SLC11A1
1353,NRGN
1354,NA
1355,CGI-38
1356,ABCG1
1357,APCDD1L
1358,NA
1359,GAS1
1360,NA
1361,OSBPL6
1362,ZNF513
1363,FAM64A
1364,LPIN3
1365,MRPS36
1366,ABL2
1367,KRTCAP3
1368,LOC643433
1369,EDARADD
1370,DHCR24
1371,SLC44A3
1372,NA
1373,NA
1374,FAAH2
1375,NA
1376,CROT
1377,NA
1378,PKN3
1379,PRKCD
1380,RNASE1
1381,NA
1382,MMP11
1383,UAP1
1384,STAT6
1385,C1QC
1386,ADAMTSL4
1387,CDC25C
1388,SH3GLB2
1389,IFITM2
1390,CLN8
1391,NA
1392,GGA2
1393,ITGAX
1394,GFRA3
1395,FOSB
1396,MAP7
1397,ACTR8
1398,GJC1
1399,SPAG16
1400,LOC644889
1401,LOC648133
1402,TATDN2
1403,CHAF1B
1404,FAM10A4
1405,HOXA5
1406,LMO3
1407,SMA4
1408,C19orf59
1409,KIAA1345
1410,NA
1411,NA
1412,PCTK3
1413,SIRPA
1414,FRAT1
1415,SCARNA9
1416,CSPG5
1417,RPUSD2
1418,IDI1
1419,HPS6
1420,NA
1421,LOC441907
1422,RIMS3
1423,MAPRE2
1424,SLIT2
1425,LOC648354
1426,TSEN2
1427,LOC493869
1428,WAC
1429,GPX6
1430,OLFML2A
1431,HERC5
1432,EZH2
1433,NOD2
1434,PPP1R15A
1435,ZC3H11A
1436,NA
1437,ANAPC11
1438,FLJ36070
1439,GYPC
1440,NA
1441,PDE4B
1442,TMEM142A
1443,GMPR2
1444,FRAG1
1445,C2orf24
1446,P11
1447,BTRC
1448,NUP205
1449,LOC648287
1450,NA
1451,C9orf58
1452,DCHS1
1453,NA
1454,RAP2A
1455,SFRP2
1456,ACOT11
1457,NA
1458,AZGP1
1459,KIAA0319L
1460,CAMK1
1461,FLNA
1462,ITGA2B
1463,RILP
1464,TBC1D3
1465,MYO3B
1466,NA
1467,TIPARP
1468,CDKN1B
1469,NA
1470,NA
1471,SMOC2
1472,NA
1473,SERPINB9
1474,NA
1475,NA
1476,LOC649209
1477,NA
1478,FAM13A1
1479,DNM2
1480,C9orf167
1481,C21orf2
1482,GNB4
1483,NOXA1
1484,STC2
1485,STK19
1486,ZNF295
1487,MGC33846
1488,NA
1489,RGL1
1490,C14orf147
1491,LOC346887
1492,NA
1493,RPL4
1494,NA
1495,PMS2L11
1496,RACGAP1
1497,ARRB1
1498,NA
1499,AES
1500,ERN1
1501,HNMT
1502,UCHL5IP
1503,MICB
1504,LOC647954
1505,CCL13
1506,NA
1507,LOC388344
1508,ARL6IP5
1509,LOC646144
1510,GTF2I
1511,JPH4
1512,SLC23A2
1513,CXCL1
1514,LOC652640
1515,ANLN
1516,MAFG
1517,CPXM1
1518,GNPDA1
1519,NA
1520,FBXO32
1521,NA
1522,EXOC3L2
1523,MPPED2
1524,C8orf77
1525,LOC729877
1526,NA
1527,EIF5A2
1528,CXYorf2
1529,BIRC5
1530,MAFB
1531,MSRB3
1532,OGFRL1
1533,NA
1534,KIAA0367
1535,CHRDL2
1536,DGKA
1537,FSD1
1538,GPR110
1539,C1orf93
1540,RBP7
1541,PIM1
1542,ACTA2
1543,NA
1544,TRIB1
1545,PARVG
1546,LOC92270
