Feature,CompGroup.C.,BaseGroup.B.,NumSamplesInC,NumSamplesInB,SignedFC,Tstatistic,Parameter,Pvalue,X95.Conf.Int.1,X95.Conf.Int.2,MeanC,MeanB,NullValue.DifferenceInMeans,Alternative,Method,FDR
1,ILMN_1692665|UNC5B,Stage2-Invasive,Stage1-NonInvasive,62,103,-2.00707856051759,-8.7054822848552,153.479786658339,4.65944409141587e-15,-1.23318446112208,-0.777009713635206,7.845,8.85009708737864,0,two.sided,Welch Two Sample t-test,2.01045693656412e-10
2,ILMN_1852771|,Stage2-Invasive,Stage1-NonInvasive,62,103,-1.48460736198997,-7.80803260316047,162.213312320268,6.80132598195108e-13,-0.714258292166908,-0.425904564081134,7.75516129032258,8.3252427184466,0,two.sided,Welch Two Sample t-test,1.26506523991273e-08
3,ILMN_1802360|KRTAP5-2,Stage2-Invasive,Stage1-NonInvasive,62,103,-1.850261788379,-7.78935277764576,156.072546439945,8.79576276939415e-13,-1.11284624237706,-0.66261257378329,7.46838709677419,8.35611650485437,0,two.sided,Welch Two Sample t-test,1.26506523991273e-08
4,ILMN_1880922|,Stage2-Invasive,Stage1-NonInvasive,62,103,-2.2169408987915,-7.53181692493036,162.739204238656,3.26535817833593e-12,-1.44969584437755,-0.847444775728932,7.57822580645161,8.72679611650485,0,two.sided,Welch Two Sample t-test,3.52234186697097e-08
5,ILMN_1658384|CRTAC1,Stage2-Invasive,Stage1-NonInvasive,62,103,-6.49431736954309,-7.50580912753186,138.518894883124,6.72936571258663e-12,-3.41021610953169,-1.98813966873326,9.08596774193548,11.785145631068,0,two.sided,Welch Two Sample t-test,5.80717343533376e-08
6,ILMN_1713496|ST3GAL5,Stage2-Invasive,Stage1-NonInvasive,62,103,-3.02254902024176,-7.61861730117588,112.130300606733,8.81716595417523e-12,-2.01077085059145,-1.18076062451033,10.6016129032258,12.1973786407767,0,two.sided,Welch Two Sample t-test,6.34071794317921e-08
7,ILMN_1651942|CDC25B,Stage2-Invasive,Stage1-NonInvasive,62,103,1.9307176185,7.61760122018264,107.364607709471,1.07682161312716e-11,0.702145946619795,1.19612840352114,10.4566129032258,9.50747572815534,0,two.sided,Welch Two Sample t-test,6.63752842331581e-08
8,ILMN_1906158|,Stage2-Invasive,Stage1-NonInvasive,62,103,-1.57027907623914,-7.30366156334902,156.403304845745,1.33960666638083e-11,-0.827087150212491,-0.47495481658989,7.76548387096774,8.41650485436893,0,two.sided,Welch Two Sample t-test,7.22516855512501e-08
9,ILMN_1727194|CALU,Stage2-Invasive,Stage1-NonInvasive,62,103,1.81211707547394,7.27980450647701,131.186414089176,2.74940831650313e-11,0.624611450319391,1.09074088290955,10.878064516129,10.0203883495146,0,two.sided,Welch Two Sample t-test,1.16231287184639e-07
10,ILMN_1674706|MTHFD2,Stage2-Invasive,Stage1-NonInvasive,62,103,2.34748337216125,7.32496443204792,119.427418114313,3.06446240394056e-11,0.898329578221994,1.56390029963582,10.1254838709677,8.89436893203884,0,two.sided,Welch Two Sample t-test,1.16231287184639e-07
