x
1,MFAP4
2,CFD
3,COL16A1
4,DCN
5,ACTG2
6,AEBP1
7,C21orf63
8,MYH11
9,ZNF324B
10,TAGLN
11,ACTA2
12,SERPINF1
13,SLC9A9
14,SRPX
15,SELM
16,PLAC9
17,MED25
18,ALDH1A1
19,SPON1
20,SR-A1
21,OLFML3
22,RBP1
23,FAM107A
24,FOXF1
25,MOXD1
26,OLFM1
27,TGFBI
28,FLNC
29,LUM
30,RAB3IL1
31,DKFZP586H2123
32,NA
33,PLA2G4C
34,COL6A1
35,STOM
36,COL6A3
37,ADAMTS8
38,SGCE
39,RGL1
40,SLC35E2
41,C1S
42,BIN1
43,ABI3BP
44,FLJ21986
45,ABCA8
46,ROR2
47,MMP23A
48,TCF4
49,SMOC2
50,RARRES2
51,PTRF
52,COL5A1
53,MGC24103
54,SNORD33
55,PMP22
56,EDNRA
57,FAM43A
58,LOC221091
59,LAMC3
60,TSC22D3
61,CNN3
62,MRGPRF
63,CDH11
64,TIMP2
65,MS4A6A
66,CYBRD1
67,CALD1
68,EMILIN1
69,C2orf32
70,ADAMTS1
71,VIM
72,AMICA1
73,PYGO2
74,ATP8B4
75,GLT8D2
76,C9orf19
77,BPNT1
78,CCND2
79,TCEAL2
80,DPYSL2
81,SNORD55
82,CPVL
83,HYMAI
84,PALLD
85,GALNAC4S-6ST
86,GHR
87,SORCS1
88,CLIP3
89,PRICKLE1
90,JAM3
91,ELA2
92,CSF1R
93,ACVRL1
94,ALOX5AP
95,GAS6
96,DENND2A
97,SPARCL1
98,GPR68
99,NR2F1
100,SMARCA4
101,BCL2
102,EMP3
103,ZNF521
104,CRISPLD2
105,TCF21
106,GPR15
107,GYPC
108,PDGFRA
109,OXER1
110,ALKBH4
111,FMNL2
112,TMEM119
113,OXSM
114,TNC
115,NA
116,RPUSD2
117,TSPAN4
118,ESD
119,RAVER1
120,AFF3
121,PDGFC
122,GNG11
123,STAB1
124,ALG12
125,OLFML1
126,FGL2
127,ITGA8
128,PRKCSH
129,WDR70
130,RPUSD1
131,COX7A1
132,SLC45A3
133,SAMD1
134,TSC22D1
135,COL6A2
136,MGLL
137,RGS1
138,COLEC12
139,SLIT2
140,ANTXR2
141,HSPB6
142,HOM-TES-103
143,ZNF536
144,TPM2
145,SEPP1
146,NA
147,ALDH2
148,MIF
149,STAT4
150,MAG1
151,AIF1
152,PID1
153,TSHZ3
154,TMEM54
155,C1QA
156,SORCS2
157,GATM
158,LOC650803
159,AXL
160,ACOX2
161,C20orf149
162,MEG3
163,EFNA4
164,HLA-DPA1
165,NA
166,RNASE6
167,VIPR2
168,SNORD32A
169,PA2G4
170,TMEM180
171,SCARA5
172,ESM1
173,LOC148137
174,RASL12
175,PCGF1
176,FLJ22655
177,CTSK
178,FGF9
179,STX2
180,COMMD6
181,RNASE4
182,STXBP6
183,ADCY5
184,LOC284837
185,CLEC4A
186,ZNF629
187,NA
188,DKFZP564O0823
189,RNF150
190,LOC652002
191,MRPS26
192,VARS
193,C8orf30A
194,GPR124
195,FNBP1
196,PPP1R16A
197,ALDH1A3
198,CXCL12
199,FUT4
200,PAPPA
201,CTGF
202,TSHZ1
203,TSPAN32
204,FHL1
205,NOC4L
206,HOOK1
207,SLC6A16
208,TYROBP
209,PPP1R14B
210,F13A1
211,EBI2
212,COL1A2
213,ASAM
214,KLF2
215,TGFB3
216,PRRT2
217,LOC648470
218,DLG2
219,LSR
220,DPT
221,BOC
222,OTUB2
223,BTBD14B
224,GNA14
225,SP5
226,PELI2
227,AOAH
228,RGS2
229,FBXL6
230,ZEB2
231,AP1S2
232,DSCR3
233,PLAGL1
234,ISCU
235,ESR1
236,CD14
237,KHSRP
238,CNN1
239,ETV4
240,CNKSR1
241,DDR2
242,ANXA5
243,FLJ10159
244,HOMER3
245,PROS1
246,EYA4
247,CYP27A1
248,ADH1B
249,ASPA
250,RHOJ
251,F10
252,U1SNRNPBP
253,C10orf56
254,FLJ22184
255,TMEM11
256,SYTL3
257,SDPR
258,LHFP
259,LOC92312
260,PGM5
261,TOX
262,LTBP4
263,GLI1
264,KLF9
265,OSBPL10
266,AXIN2
267,GPR162
268,GNG10
269,PTHR1
270,EGR1
271,MPP1
272,ST8SIA1
273,GPR172A
274,COPS4
275,MGP
276,IL10RA
277,CYP1B1
278,NTF3
279,SETBP1
280,GSK3B
281,PODXL2
282,CBX8
283,UBE2J2
284,PIAS4
285,UNG
286,DACT1
287,C14orf169
288,SCARF2
289,LGALS3
290,PDK4
291,CDKN1C
292,ANXA1
293,DDI2
294,FBXO46
295,SH3BGRL
296,RP11-529I10.4
297,CD209
298,NDN
